GEO_UNIT,WEEK,CHANNEL,BRAND,SUB_BRAND,FEATURE,VALUE
FR,15-08-2022,ENSEIGNES_HMSM,doritos,doritos,WEIGHTED_DISTRIBUTION_FEATURE_AND_DISPLAY,6.0
FR,15-08-2022,ENSEIGNES_HMSM,doritos,doritos,TOTAL_DISTRIBUTION_WEIGHTED_VOLUME,59.51730257
FR,15-08-2022,ENSEIGNES_HMSM,doritos,doritos,INTERNAL_COMPETITION_AVG_PRICE,0.0
FR,15-08-2022,ENSEIGNES_HMSM,doritos,doritos,AVG_PRICE_COMPETITOR,10.42798172
FR,15-08-2022,ENSEIGNES_HMSM,doritos,doritos,INTERNAL_TDP_COMPETITION,0.0
FR,15-08-2022,ENSEIGNES_HMSM,doritos,doritos,TDP_COMPETITOR,2494.0
FR,15-08-2022,ENSEIGNES_HMSM,doritos,doritos,DORITOS_230G_AVG_PRICE,8.417304965
FR,15-08-2022,ENSEIGNES_HMSM,doritos,doritos,DORITOS_170G_AVG_PRICE,9.742993564
FR,15-08-2022,ENSEIGNES_HMSM,doritos,doritos,DORITOS_230G_AVG_PRICE_REDUCTION,1.053201988
FR,15-08-2022,ENSEIGNES_HMSM,doritos,doritos,DORITOS_170G_AVG_PRICE_REDUCTION,1.00879356
FR,22-08-2022,ENSEIGNES_HMSM,doritos,doritos,AVG_PRICE_FOR_VOLUME,9.053713469
FR,22-08-2022,ENSEIGNES_HMSM,doritos,doritos,TOTAL_DISTRIBUTION_POINTS,972.0
FR,22-08-2022,ENSEIGNES_HMSM,doritos,doritos,WEIGHTED_DISTRIBUTION_FEATURE,17.0
FR,22-08-2022,ENSEIGNES_HMSM,doritos,doritos,WEIGHTED_DISTRIBUTION_DISPLAY,16.0
FR,22-08-2022,ENSEIGNES_HMSM,doritos,doritos,WEIGHTED_DISTRIBUTION_FEATURE_AND_DISPLAY,11.0
FR,22-08-2022,ENSEIGNES_HMSM,doritos,doritos,TOTAL_DISTRIBUTION_WEIGHTED_VOLUME,59.15372241
FR,22-08-2022,ENSEIGNES_HMSM,doritos,doritos,INTERNAL_COMPETITION_AVG_PRICE,0.0
FR,22-08-2022,ENSEIGNES_HMSM,doritos,doritos,AVG_PRICE_COMPETITOR,10.52710779
FR,22-08-2022,ENSEIGNES_HMSM,doritos,doritos,INTERNAL_TDP_COMPETITION,0.0
FR,22-08-2022,ENSEIGNES_HMSM,doritos,doritos,TDP_COMPETITOR,2452.0
FR,22-08-2022,ENSEIGNES_HMSM,doritos,doritos,DORITOS_230G_AVG_PRICE,8.364950545
FR,22-08-2022,ENSEIGNES_HMSM,doritos,doritos,DORITOS_170G_AVG_PRICE,9.778856526
FR,22-08-2022,ENSEIGNES_HMSM,doritos,doritos,DORITOS_230G_AVG_PRICE_REDUCTION,1.059090935
FR,22-08-2022,ENSEIGNES_HMSM,doritos,doritos,DORITOS_170G_AVG_PRICE_REDUCTION,1.005145031
FR,29-08-2022,ENSEIGNES_HMSM,doritos,doritos,AVG_PRICE_FOR_VOLUME,9.034005389
